;activity_id;activity_id.1;activity_name;granular_name;measurement;volume;predecessor_ids;connection_types;lags
0;25809398;25809398;Начало работ по марке;Начало работ по марке;-1;0.0;;;
1;25809830;25809830;Изготовление свай;Изготовление свай;шт;1496.0;;;
2;25809831;25809831;Бурение лидерных скважин;Бурение лидерных скважин;шт;1496.0;25809398,25809830;FFS,FS;0.01,-1
3;25809833;25809833;Погружение свай;Погружение свай;шт;1496.0;25809830,25809831;FFS,FFS;0.01,0.01
4;25813507;25813507;Заполнение полости свай ЦПС;Заполнение полости свай;шт;1500.0;25809830,25809831,25809833;FFS,FFS,FFS;0.01,0.01,0.01
5;25809836;25809836;Срезка свай, монтаж оголовков;Монтаж оголовков;шт;1496.0;25809830,25809831,25809833,25813507;FFS,FFS,FFS,FFS;0.01,0.01,0.01,0.01
6;25809832;25809832;Засыпка пространства между сваями щебнем фракции 15-20 мм;Засыпка щебнем;м3;82.8;25809830,25809833,25809836,25809839,25809852,25809854;FS,FS,FFS,SS,FS,FS;-1,-1,0.01,0.05,-1,-1
7;25809837;25809837;Монтаж деформационных марок;Монтаж деформационных марок;шт;100.0;25809831,25809836,25809835;FS,SS,FS;-1,0.75,-1
8;25809838;25809838;Монтаж траверс;Монтаж траверс;шт;945.0;25809830,25809831,25809833,25813507,25809836;FS,FFS,FFS,FFS,FFS;-1,0.01,0.01,0.01,0.01
9;25809839;25809839;Монтаж м/к (связи, стойки, упоры, подкосы);Монтаж м/к (связи, стойки, подкосы, упоры);тн;148.6;25809830,25809831,25809833,25813507,25809836,25809838,25809835,25809847,25809852,25809848,25809854;FFS,FFS,FFS,FFS,FFS,FFS,FS,FFS,FFS,FFS,FFS;0.52,0.01,0.01,0.33,0.01,0.01,-1,0.27,0.05,0.27,0.05
10;25809834;25809834;Устройство термометрических скважин;Устройство термометрических скважин;шт;11.0;25809830,25809831,25809833,25809836,25809838,25809839,25809835,25809840,25809841;FS,FS,FS,FFS,FFS,SS,FS,FS,FFS;-1,-1,-1,0.38,0.5,0.68,-1,-1,0.86
11;25809835;25809835;Монтаж термометрических трубок;Монтаж термометрических трубок;шт;59.0;25809831,25809833,25809836,25809838,25809852,25809854;FFS,FFS,SS,SS,FS,FS;0.04,0.04,0.19,0.5,-1,-1
12;25809842;25809842;Устройство песчанной подушки;Устройство песчаной подушки;м3;144.47;25809830,25809831,25809833,25813507,25809836,25809832,25809839,25809840,25809841;FFS,FFS,FFS,FFS,FFS,FFS,FFS,SS,FS;0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.79,-1
13;25809843;25809843;Укладка габионов;Укладка георешетки;шт;92.0;25809832,25809839,25809842,25809841;FFS,FS,FFS,FS;0.01,-1,0.06,-1
14;25809844;25809844;Заполнение габионов щебнем фракции 70-120мм;Заполнение щебнем;м3;247.97;25809832,25809843,25809841;FFS,SS,FS;0.01,0.03,-1
15;25809840;25809840;Монтаж термостабилизаторов;Монтаж термостабилизаторов;шт;81.0;25809830,25809831,25809833,25809836,25809838,25809839,25809835,25809841,25809847,25809850,25809848,25809853;FS,FFS,FFS,FFS,FS,FS,FFS,FS,FS,FFS,FS,FFS;-1,0.01,0.01,0.17,-1,-1,0.01,-1,-1,0.12,-1,0.12
